Index,Filename,Analysis_Summary,Target_Subject,Degradation_Type,Suggested_Operation,Target
2344,03607.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2345,03608.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2346,03609.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2347,03611.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2348,03612.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2349,03613.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2350,03614.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2351,03615.png,Car has Motion Blur,Car,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of car is clearly visible."
2352,03616.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2353,03617.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2354,03618.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2355,03619.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2356,03620.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2357,03622.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2358,03623.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2359,03624.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2360,03626.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2361,03627.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2362,03629.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2363,03630.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2364,03631.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2365,03632.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2366,03634.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2367,03636.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2368,03637.png,Building has Overexposure,Building,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of building is clearly visible."
2369,03638.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
2370,03640.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2371,03641.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2372,03642.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2373,03648.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2374,03649.png,Car has Motion Blur,Car,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of car is clearly visible."
2375,03650.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2376,03651.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
2377,03659.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2378,03660.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2379,03662.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2380,03663.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2381,03665.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
2382,03666.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2383,03668.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2384,03669.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2385,03670.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2386,03671.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2387,03672.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2388,03673.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2389,03675.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2390,03676.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2391,03679.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
2392,03680.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2393,03681.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2394,03682.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2395,03685.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2396,03686.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2397,03687.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2398,03688.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2399,03689.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2400,03690.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2401,03691.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2402,03693.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2403,03694.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2404,03695.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2405,03696.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2406,03697.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2407,03698.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2408,03699.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2409,03701.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2410,03702.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2411,03703.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2412,03704.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2413,03705.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2414,03707.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2415,03708.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2416,03709.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2417,03711.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2418,03712.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2419,03714.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2420,03716.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2421,03720.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2422,03731.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2423,03732.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2424,03736.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2425,03737.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2426,03738.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2427,03739.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2428,03740.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2429,03742.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2430,03743.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2431,03744.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2432,03745.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2433,03746.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2434,03747.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2435,03749.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2436,03750.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2437,03751.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2438,03752.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2439,03753.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2440,03754.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2441,03755.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2442,03756.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2443,03758.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2444,03759.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2445,03761.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2446,03762.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2447,03763.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2448,03764.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2449,03765.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2450,03767.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2451,03768.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2452,03769.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2453,03770.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2454,03775.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2455,03776.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2456,03778.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2457,03783.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2458,03784.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2459,03789.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2460,03793.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2461,03798.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2462,03800.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2463,03801.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2464,03803.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2465,03804.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2466,03805.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2467,03807.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2468,03808.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2469,03810.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2470,03812.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2471,03814.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2472,03821.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2473,03822.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2474,03823.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2475,03824.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2476,03826.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2477,03829.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2478,03830.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2479,03832.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2480,03833.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2481,03834.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2482,03836.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2483,03837.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2484,03838.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2485,03839.png,Pedestrian has Underexposure,Pedestrian,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of pedestrians is clearly visible."
2486,03840.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2487,03845.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2488,03846.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2489,03847.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2490,03848.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2491,03851.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2492,03852.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2493,03853.png,Car has Low Contrast,Car,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of car is clearly visible."
2494,03854.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2495,03855.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2496,03856.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2497,03857.png,Car has Motion Blur,Car,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of car is clearly visible."
2498,03859.png,Building has Overexposure,Building,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of building is clearly visible."
2499,03860.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2500,03862.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2501,03863.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2502,03865.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2503,03866.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2504,03868.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2505,03869.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2506,03870.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2507,03872.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2508,03873.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2509,03875.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2510,03876.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2511,03881.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2512,03882.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2513,03884.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2514,03885.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2515,03889.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2516,03892.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2517,03893.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2518,03894.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2519,03895.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2520,03896.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2521,03897.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
2522,03898.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2523,03900.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2524,03902.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2525,03903.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2526,03904.png,Car has Motion Blur,Car,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of car is clearly visible."
2527,03907.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2528,03908.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2529,03909.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2530,03910.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2531,03911.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2532,03913.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2533,03915.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2534,03918.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2535,03919.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2536,03920.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2537,03921.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
2538,03922.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2539,03923.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2540,03925.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2541,03926.png,Car has Motion Blur,Car,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of car is clearly visible."
2542,03927.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
2543,03928.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2544,03929.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2545,03930.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2546,03932.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
2547,03933.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
